ARTUR;АРТУР
GIZO;ГИЗО
JELADZE;ДЖЕЛАДЗЕ
NIKA;НИКОЛОЗ
GVARAMIA;ГВАРАМИЯ
MIKADZE;МИКАДЗЕ
MIKHEIL;МИХАИЛ
JISHKARIANI;ДЖИШКАРИАНИ
KOCHARLI;КОЧАРЛИ
SAIDA;САИДА
GUNBA;ГУНБА
VIKTOR;ВИКТОР
SANEYEV;САНЕЕВ
RUSUDAN;РУСУДАН
GOLETIANI;ГОЛЕТИАНИ
NAZIKEDA;НАЗИКЕДА
POLADOV;ПОЛАДОВ
ADALET;АДАЛЯТ
SHUKUROV;ШУКЮРОВ
PARGEV;ПАРГЕВ
TURKAN;ТЮРКАН
MAMEDYAROVA;МАМЕДЪЯРОВА
KAMRAN;КАМРАН
AGAYEV;АГАЕВ
GAZANFAR;ГАЗАНФАР
MUSABEKOV;МУСАБЕКОВ
NASIBOV;НАСИБОВ
SHAHIN;ШАХИН
DINIYEV;ДИНИЕВ
NAMIG;НАМИГ
KARAM;КЕРЕМ
SUDABA;СЮДАБА
SAFAR;САФАР
MEHDIYEV;МЕХТИЕВ
NIJAT;НИДЖАТ
SHIKHALIZADA;ШИХАЛИЗАДЕ
SAMIR;САМИР
GEVORKIAN;ГЕВОРКЯН
ALBERT;АЛЬБЕРТ
BAZEYAN;БАЗЕЯН
NARINE;НАРИНЕ
HRANUSH;ГРАНУШ
ARA;АРА
ABRAMYAN;АБРАМЯН
ANKVAB;АНКВАБ
KIRIYENKO;КИРИЕНКО
BAGAPSH;БАГАПШ
ASIMAN;АСИМАН
GURBANLI;ГУРБАНЛЫ
GOSHGAR;ГОШГАР
TAHMAZLI;ТАХМАЗЛИ
PANAH;ПАНАХ
HUSEYN;ГУСЕЙНОВ
LUTFIYAR;ЛЮТФИЯР
ZORI;ЗОРИЙ
BALAYAN;БАЛАЯН
NINO;НИНО
GVENETADZE;ГВЕНЕТАДЗЕ
ARMEN;АРМЕН
ABAGHIAN;АБАГЯН
ADAMYAN;АДАМЯН
ZAROSH;ЗАРОШ
HAMZAYEVA;ГАМЗАЕВА
SIYAVUSH;СИЯВУШ
NOVRUZOV;НОВРУЗОВ
VAGIF;ВАГИФ
TERENTI;ТЕРЕНТИЙ
GRANELI;ГРАНЕЛИ
NIKOLOZ;НИКОЛАЙ
BERDZENISHVILI;БЕРДЗЕНИШВИЛИ
CHICHIKO;ЧИЧИКО
BENDELIANI;БЕНДЕЛИАНИ
VLASA;ВЛАСА
MGELADZE;МГЕЛАДЗЕ
LEO;ЛЕО
KIACHELI;КИАЧЕЛИ
SHALVA;ШАЛВА
DADIANI;ДАДИАНИ
SHENGELAIA;ШЕНГЕЛАЯ
NINA;НИНА
LOBOVA;ЛОБОВА
STEPAN;СТЕФАН
ZORYAN;ЗОРЬЯН
DARCHINYAN;ДАРЧИНЯН
HRACHIK;ГРАЧЬЯ
JAVAKHYAN;ДЖАВАХЯН
AZARYAN;АЗАРЯН
KAZIM;КАЗЫМ
CAN;ДЖАН
ZARIFA;ЗАРИФА
KHANNA;ХАННА
OMARKHALI;ОМАРХАЛИ
POGOSYAN;ПОГОСЯН
GEPERIDZE;ГЕПЕРИДЗЕ
CHILACHAVA;ЧИЛАЧАВА
BESIK;БЕСИК
BERADZE;БЕРАДЗЕ
BERULAVA;БЕРУЛАВА
SICHINAVA;СИЧИНАВА
ZVIAD;ЗВИАД
BARAMIA;БАРАМИЯ
VLADIMERI;ВЛАДИМИР
DGEBUADZE;ДГЕБУАДЗЕ
ADA;АДА
MARSHANIA;МАРШАНИЯ
MELIK-PASHAYEV;МЕЛИК-ПАШАЕВ
ZAHID;ЗАХИД
KHALILOV;ХАЛИЛОВ
KAMANDAR;КАМАНДАР
MADZHIDOV;МАДЖИДОВ
NIKO;НИКОЛАЙ
LOMOURI;ЛОМОУРИ
IAKOB;ЯКОВ
GOGEBASHVILI;ГОГЕБАШВИЛИ
HASHIMOV;ГАШИМОВ
IMRANOV;ИМРАНОВ
VASIF;ВАСИФ
DURARBAYLI;ДУРАРБЕЙЛИ
ALIHAN;АЛИХАН
VALENTINA;ВАЛЕНТИНА
POPOVA;ПОПОВА
NZHDEH;НЖДЕ
JANALI;ДЖАНАЛИ
AKBAROV;АКПЕРОВ
KIPIANI;КИПИАНИ
KHATIRA;ХАТИРА
BASHIRLI;БАШИРЛИ
ZIYAFAT;ЗИЯФЕТ
KAMALADDIN;КЯМАЛЕДДИН
GAIK;ГАЙК
OVAKIMIAN;ОВАКИМЯН
KOKKAI;КОККАЙ
FUTOSHI;ФУТОСИ
ZHIULI;ЖИУЛИ
SHARTAVA;ШАРТАВА
GOCHA;ГОЧА
GOGRICHIANI;ГОГРИЧИАНИ
ANDRO;АНДРО
WEKUA;ВЕКУА
AKHBA;АХБА
TSYKOLIA;ЦИКОЛИЯ
GABISKIRIA;ГАБИСКИРИЯ
AVTANDIL;АВТАНДИЛ
GOGOBERIDZE;ГОГОБЕРИДЗЕ
AVAZ;АВАЗ
ABU;АБУ
SA'ID;САИД
KHALAF;ХАЛАФ
KHALAFOV;ХАЛАФОВ
KOMITAS;КОМИТАС
AGHTSETSI;АХЦЕЦИ
ASHIG;АШУГ
ALASGAR;АЛЕСКЕР
MATLAB;МАТЛАБ
ZULFIYYA;ЗУЛЬФИЯ
HUSEYNOVA;ГУСЕЙНОВА
AYTAKIN;АЙТЕКИН
GASIMOV;ГАСЫМОВ
SAMAD;САМЕД
AGADADASH;АГАДАДАШ
KHAZAR;ХАЗАР
ISAYEV;ИСАЕВ
YALCHIN;ЯЛЧЫН
RZAZADEH;РЗАЗАДЕ
FARIZ;ФАРИС
ANNA;АННА
NAZMI;НАЗМИ
BEHBUD KHAN;БЕХБУД-ХАН
JAVANSHIR;ДЖАВАНШИР
ELMAN;ЭЛЬМАН
GHAZAR;ЛАЗАРЬ
PARPETSI;ПАРПЕЦИ
POLAD;ПОЛАД
VALIYEV;ВЕЛИЕВ
BEYBALAYEV;БЕЙБАЛАЕВ
ANASTAS;АНАСТАС
MIKOYAN;МИКОЯН
MAMMADLI;МАМЕДЛИ
ANUSHAVAN;АНУШАВАН
RAFIG;РАФИК
MADATOV;МАДАТОВ
GHAZAROS;ГАЗАРОС
AGHAYAN;АГАЯН
SAMSON;САМСОН
KHACHATRYAN;ХАЧАТРЯН
NASILYAN;НАСИЛЯН
YEGHOYAN;ЕГОЯН
YAGUBLU;ЯГУБЛУ
TIRAN;ТИРАН
ARAM;АРАМ
PACHYAN;ПАЧЯН
YAKOV;ЯКОВ
DAVYDOV;ДАВТЯН
ZORIAN;ЗОРЯН-РОСТОМ
ABULFAZ;АБУЛЬФАЗ
ELCHIBEY;ЭЛЬЧИБЕЙ
MANSUROV;МАНСУРОВ
BENJAMIN;ВЕНИАМИН
MARKARIAN;МАРКАРЯН
HOVHANNES;ОВАНЕС
TUMANYAN;ТУМАНЯН
ZEINAB;ЗЕЙНАБ
MAHADDIN;МАХЯДДИН
HAFIZ;ХАФИЗ
SULEYMANOGLU;СУЛЕЙМАНОГЛУ
TARLAN;ТАРЛАН
MAMISHZADA;МАМИШЗАДЕ
TOFIG;ТОФИГ
JAFARGULIYEV;ДЖАФАРКУЛИЕВ
BATAL;БАТАЛ
KOBAKHIA;КОБАХИЯ
GULIA;ГУЛИА
DELBA;ДЕЛБА
DOROKHOV;ДОРОХОВ
ANATOLIY;АНАТОЛИЙ
KOTENYOV;КОТЕНЁВ
ANATOLI;АНАТОЛИЙ
KACHARAVA;КАЧАРАВА
LAKOBA;ЛАКОБА
MIKHAIL;МИХАИЛ
LOGUA;ЛОГУА
BADR;БАДРА
HRANT;ГРАНТ
SHAHINYAN;ШАГИНЯН
KAKUTSA;КАЙХОСРО
CHOLOKASHVILI;ЧОЛОКАШВИЛИ
IREMADZE;ИРЕМАДЗЕ
DAUR;ДАУР
KOVE;КОВЕ
AMAR;АМАР
SULOEV;СУЛОЕВ
SUREN;СУРЕН
KERSELYAN;КЕРСЕЛЯН
RASHID;РАШ
KHUTABA;ХУТАБА
ANTON;АНТОН
ALIKHANOV;АЛИХАНОВ
RAMAZAN;РАМАЗАН
DEMNA;ДЕМНА
GVASALIA;ГВАСАЛИЯ
AGAHUSEYN;АГАГУСЕЙН
GURGEN;ГУРГЕН
ENGIBARYAN;ЕНГИБАРЯН
ALIFIRENKO;АЛИФИРЕНКО
GYULBUDAGHYANTS;ГЮЛЬБУДАГЯНЦ
SHAVARSH;ШАВАРШ
MANUKYAN;МАНУКЯН
MARAT;МАРАТ
ALEKSANIAN;АЛЕКСАНЯН
VOSKANYAN;ВОСКАНЯН
GEDEKHAURI;ГЕДЕХАУРИ
TEMUR;ТЕМУР
TSIKLAURI;ЦИКЛАУРИ
SADIGLI;САДЫГЛЫ
BABANLI;БАБАНЛЫ
KECHAARI;КЕЧААРИ
VOROSHIL;ВОРОШИЛ
GUKASYAN;ГУКАСЯН
SAYAVUSH;САЯВУШ
GEVORG;ГЕВОРК
ABAJIAN;АБАДЖЯН
SAYIDOV;СЕИДОВ
MARO;МАРО
SOLOGASHVILI;СОЛОГАШВИЛИ
GERMAN;ГЕРМАН
KUTARBA;КУТАРБА
KORCHAGIN;КОРЧАГИН
AJINJAL;АДЖИНДЖАЛ
GEORGII;ГЕОРГИЙ
ZANTARAIA;ЗАНТАРАЯ
ZELIMKHAN;ЗЕЛИМХАН
KHANGOSHVILI;ХАНГОШВИЛИ
GOR;ГОР
AGBALJAN;АГБАЛЯН
VAZIR;ВЕЗИР
ORUJOV;ОРУДЖЕВ
AKRAM;АКРАМ
AYLISLI;АЙЛИСЛИ
CHALABIYEV;ЧЕЛЕБИЕВ
ATAKHAN;АТАХАН
ISMAYIL BEY;ИСМАИЛ-БЕК
KUTKASHENSKY;КУТКАШЕНСКИЙ
ALISH;АЛИШ
LAMBARANSKI;ЛЕМБЕРАНСКИЙ
JAMO BEY;ДЖАМО-БЕК
HAJINSKI;ГАДЖИНСКИЙ
ARSHALUYS;АРШАЛУЙС
TARVERDYAN;ТАРВЕРДЯН
VAZIROV;ВЕЗИРОВ
MEHDI BEY;МЕХТИ-БЕК
MAMMADRAFI;МАМЕДРАФИ
FATMA;ФАТЬМА
MEHRALIYEVA;МЕХРАЛИЕВА
AKHUNDZADEH;АХУНДЗАДЕ
MIR;МИР
SOYUN;СОЮН
SADYKOV;САДЫКОВ
TALIBOV;ТАЛЫБОВ
SOFIYEVA;СОФИЕВА
SAKHIL;САХИЛ
ALAKHVERDOVI;АЛАХВЕРДОВИ
HAMDULLA;ХАМДУЛЛА
AFANDIZADEH;ЭФЕНДИЗАДЕ
CHINGIZ;ЧИНГИЗ
ABDURRAHMANOV;АБДУРАХМАНОВ
HUNAN;УНАН
AVETISYAN;АВЕТИСЯН
DENIS;ДЕНИС
TSARGUSH;ЦАРГУШ
SHAMBA;ШАМБА
NURMAMMAD BEY;НУРМАМЕД-БЕК
SHAHSUVAROV;ШАХСУВАРОВ
LEONID;ЛЕОНИД
DZAPSHBA;ДЗЯПШБА
MANUKIAN;МАНУКЯН
GENNADI;ГЕННАДИЙ
BONDARENKO;БОНДАРЕНКО
BESLAN;БЕСЛАН
CHEZHIYA;ЧЕЖИЯ
VIACHESLAV;ВЯЧЕСЛАВ
TSUGBA;ЦУГБА
NESTOR;НЕСТОР
AKHVLEDIANI;АХВЛЕДИАНИ
KHAGBA;ХАГБА
KHAGANI;ХАГАНИ
BARKAIA;БАРКАЯ
AGARUNOV;АГАРУНОВ
XVICA;ХВИЧА
BICINASVILI;БИЧИНАШВИЛИ
ARISTOV;АРИСТОВ
MAMMAD;МАМЕД
ARAZ;АРАЗ
SADIQOV;САДИГОВ
MIRHUSEYN;МИРГУСЕЙН
SEYIDOV;СЕЙИДОВ
ARSEN;АРСЕН
ILYA;ИЛЬЯ
KAVERIN;КАВЕРИН
NAZIRLI;НАЗИРЛИ
BAHRUZ;БАХРУЗ
MAHARRAMOV;МАГЕРРАМОВ
KHANDADASH;ХАНДАДАШ
MKHITARIAN;МХИТАРЯН
TER-SAHAKYAN;ТЕР-СААКЯН
VANES;ВАНЕС
VASILIY;ВАСИЛИЙ
TAIROV;ТАИРОВ
LERNIK;ЛЕРНИК
PAPYAN;ПАПЯН
EDMON;ЭДМОН
MARUKYAN;МАРУКЯН
ANDRANIK;АНДРАНИК
RAFIK;РАФИК
TEREZA;ТЕРЕЗА
NALBANDYAN;НАЛБАНДЯН
HAJIZADEH;ГАДЖИЗАДЕ
ARGAM;АРГАМ
AIVAZIAN;АЙВАЗЯН
DAVITASHVILI;ДАВИТАШВИЛИ
AYNA;АЙНА
SULTANOVA;СУЛТАНОВА
SERGO;СЕРГО
HAMBARDZUMYAN;АМБАРЦУМЯН
VAGHARSHAK;ВАГАРШАК
HAKOBYAN;АКОБЯН
AFLATUN;АФЛАТУН
AMASHOV;АМАШЕВ
ASHKHARBEK;АШХАРБЕК
KALANTAR;КАЛАНТАР
ANTSUKHELIDZE;АНЦУХЕЛИДЗЕ
OGTAY;ОГТАЙ
SAMADOV;САМЕДОВ
GULELAURI;ТОРГВАИДЗЕ
EYYUB;ЭЙЮБ
BASHIROV;БАШИРОВ
ERIK;ЭРИК
PUKHAYEV;ПУХАЕВ
BARBARE;ВАРВАРА
JORJADZE;ДЖОРДЖАДЗЕ
RUSTAMYAN;РУСТАМЯН
ARAKELIAN;АРАКЕЛЯН
VARUZHAN;ВАРУЖАН
YEPREMYAN;ЕПРЕМЯН
ALOYAN;АЛОЯН
NAHAPET;НААПЕТ
GEVORGYAN;ГЕВОРГЯН
KOLYAN;ЭДГАР
EDGAR;КОЛЯН
HRIPSIME;РИПСИМЕ
KHURSHUDYAN;ХУРШУДЯН
DJIVAN;ДЖИВАН
GASPARYAN;ГАСПАРЯН
DADASHEV;ДАДАШЕВ
ALI BEY;АЛИ-БЕК
HUSEYNZADE;ГУСЕЙНЗАДЕ
ABDURRAHMAN;АБДУРРАХМАН
FATALIBEYLI;ФАТАЛИБЕЙЛИ
LEON;ЛЕОН
SABUA;САБУА
BARTSITS;БАРЦИЦ
KORTUA;КОРТУА
MIKANBA;МИКАНБА
MARIKA;МАРИКА
PERTAKHIYA;ПЕРТАХИЯ
MESKHIA;МЕСХИЯ
TSIMTSBA;ЦИМЦБА
DAVYD;ДАВИД
KHORAVA;ХОРАВА
KVEKVESKIRI;КВЕКВЕСКИРИ
MAYA;МАЙЯ
KOPITSEVA;КОПЫТЦЕВА
VITALY;ВИТАЛИЙ
SHEVOROSHKIN;ШЕВОРОШКИН
CHIRIKBA;ЧИРИКБА
LEPKO;ЛЕПКО
KHETSIA;ХЕЦИЯ
SERHIY;СЕРГЕЙ
TATULIAN;ТАТУЛЯН
HOVSEP;ОВСЕП
ARGHUTIAN;АРГУТЯН
SAVVIDIS;САВВИДИ
EUCLID;ЭВКЛИД
KYURDZIDIS;КЮРДЗИДИС
AGHASHIRIN;АГАШИРИН
JAFAROV;ДЖАФАРОВ
KETO;КЭТО
DZHAPARIDZE;ДЖАПАРИДЗЕ
ALEN;АЛЕН
ZASEYEV;ЗАСЕЕВ
TSUTSKIRIDZE;ЦУЦКИРИДЗЕ
ITZHAK;ИЦХАК
ILAN;ИЛАН
BEKA;БЕКА
GVINIASHVILI;ГВИНИАШВИЛИ
DAVUD;ДАВУД
NASIB;НАСИБОВ
MUSTAFA BEY;МУСТАФА-БЕК
VAKILOV;ВЕКИЛОВ
VAHAGN;ВААГН
MAMMEDOV;МАМЕДОВ
DOROTHEOS;ДОРОФЕЙ
DBAR;ДБАР
JEMAL;ДЖЕМАЛ
GUBAZ;ГУБАЗ
KONSTANTIN;КОНСТАНТИН
OZGAN;ОЗГАН
ALMASBEI;АЛМАСБЕЙ
KCHACH;КЧАЧ
YEVDA;ЕВДА
ABRAMOV;АБРАМОВ
LENDRUSH;ЛЕНДРУШ
NAGIF;НАГИФ
HAMZAYEV;ГАМЗАЕВ
NURU;НУРУ
MISKIN;МИСКИН
ABDAL;АБДАЛ
ZULFI;ЗУЛЬФИ
MEHMAN;МЕХМАН
SAYADOV;САЯДОВ
GOCHA;ГЕОРГИЙ
GAVASHELI;ГАВАШЕЛИ
ANRI;АНРИ
KHAGUSH;ХАГУШ
CHIKHRADZE;ЧИХРАДЗЕ
ANDREI;АНДРЕЙ
CHEKUNOV;ЧЕКУНОВ
TEMUR;ТЕМУРИ
KETSBAIA;КЕЦБАЯ
BAADUR;БААДУР
JOBAVA;ДЖОБАВА
KUBRA;КЮБРА
FARAJEVA;ФАРАДЖЕВА
JALILOVA;ДЖАЛИЛОВА
YEVA;ЕВГЕНИЯ
OLENSKAYA;ОЛЕНСКАЯ
BAKIKHANOV;БАКИХАНОВ
REYHAN;РЕЙХАН
TOPCHUBASHOVA;ТОПЧИБАШЕВА
KOLESNIKOV;КОЛЕСНИКОВ
VALERIAN;ВАЛЕРИАН
ZARAKH;ЗАРАХ
ILIEV;ИЛИЕВ
YUNUSZADE;ЮНУСЗАДЕ
YAGUTIL;ЯГУТИЛ
MISHIEV;МИШИЕВ
GARTSKIA;ГАРЦКИЯ
GOD;ГОД
NISANOV;НИСАНОВ
GRIGOR;ГРИГОР
MAGISTROS;МАГИСТРОС
ONIASHVILI;ОНИАШВИЛИ
TSATUR;ЦАТУР
IMASTASER;ИМАСТАСЕР
GHAZARYAN;КАЗАРЯН
ADIAN;АДЯН
ZHIRAYR;ЖИРАЙР
SHAGHOYAN;ШАГОЯН
ISA;ИСА
HABIBBAYLI;ГАБИББЕЙЛИ
YUSIFOV;ЮСИФОВ
ALIM;АЛИМ
QASIMOV;ГАСЫМОВ
TATOUL;ТАТУЛ
MARKARIAN;МАРГАРЯН
MOVSISYAN;МОВСИСЯН
HAMBARTSUMYAN;АМБАРЦУМЯН
LOUSINE;ЛУСИНЭ
GEVORKYAN;ГЕВОРКЯН
AREV;АРЕВ
BAGHDASARYAN;БАГДАСАРЯН
GHULIAN;ГУЛЯН
AMINA;АМИНА
DILBAZI;ДИЛЬБАЗИ
TERTERYAN;ТЕРТЕРЯН
SVETLANA;СВЕТЛАНА
NAVASARDYAN;НАВАСАРДЯН
MOVSUM;МОВСУМ
EDUARD;ЭДУАРД
SHARMAZANOV;ШАРМАЗАНОВ
BALASANYAN;БАЛАСАНЯН
VLADISLAV;ВЛАДИСЛАВ
SHAHEN;ШАГЕН
VAGARSHAK;ВАГАРШАК
TER-VAGANYAN;ТЕР-ВАГАНЯН
ARAMAIS;АРАМАИС
AKHRIK;АХРИК
TSVEIBA;ЦВЕЙБА
NAZARYAN;НАЗАРЯН
GAGULIA;ГАГУЛИЯ
VASO;ВАСИЛИЙ
ABASHIDZE;АБАШИДЗЕ
NIKOLAI;НИКОЛАЙ
BUGAEV;БУГАЕВ
ROINASHVILI;РОИНАШВИЛИ
PSHAVELA;ПШАВЕЛА
AGUMAVA;АГУМАВА
HAIK;АЙК
ARTAK;АРТАК
APITONIAN;АПИТОНЯН
AGASI;АГАСИ
BADAL;БАДАЛ
MURADYAN;МУРАДЯН
MARDJAN;МАРДЖАН
SONA;СОНА
VELIKHAN;ВЕЛИХАН
MAHAMMADOV;МАГОМЕДОВ
RAHMAN;РАХМАН
GARAEV;ГАРАЕВ
OLEG;ОЛЕГ
KHOPYORSKY;ХОПЁРСКИЙ
ZAKHARYAYEV;ЗАХАРЬЯЕВ
MUSATOV;МУСАТОВ
ELVIRA;ЭЛЬВИРА
ARSALIA;АРСАЛИЯ
SAID;САИД
TARBA;ТАРБА
SHAVLOKHOV;ШАВЛОХОВ
JUMA;ДЖУМА
ENIK;ЕНИК
GEVHERI;ГЕВХЕРИ
KADIN;КАДЫН
ADGUR;АДГУР
NODAR;НОДАР
CHANBA;ЧАНБА
SAHAK;СААК
TAYMASKHA;ТАЙМАСХА
GEKHINSKAYA;ГЕХИНСКАЯ
GEGHAM;ГЕГАМ
KADIMYAN;КАДИМЯН
TSARUKYAN;ЦАРУКЯН
SHABAT;ШАБАТ
KOCHINYAN;КОЧИНЯН
KHARITON;ХАРИТОН
AGRBA;АГРБА
ROSA;РОЗА
LINN;ЛИНН
ARTSVIK;АРЦВИК
ISHKHAN;ИШХАН
GELOYAN;ГЕЛОЯН
ARAIK;АРАИК
TUNYAN;ТУНЯН
PATVAKAN;ПАТВАКАН
BARKHUDARYAN;БАРХУДАРЯН
IVANE;ИВАН
AMILAKHVARI;АМИЛАХОРИ
MIRABI;МЕРАБ
VALIYEV;ВАЛИЕВ
ZAGARELI;ЦАГАРЕЛИ
RAPHAEL;РАФАЭЛ
ERISTAVI;ЭРИСТАВИ
KUDUKHOV;КУДУХОВ
VAZGEN;ВАЗГЕН
LUKA;ЛУКА
MAISURADZE;МАЙСУРАДЗЕ
LOKHOV;ЛОХОВ
TATO;ТАТО
GRIGALASHVILI;ГРИГАЛАШВИЛИ
TSINAMDZGHVRISHVILI;ЦИНАМДЗГВРИШВИЛИ
HRACH;ГРАЧ
ROSTOMYAN;РОСТОМЯН
OKSEN;ОКСЕН
MIKAELYAN;МИКАЕЛЯН
JAMARAULI;ДЖАМАРАУЛИ
AVTANDILI;АВТАНДИЛ
TCHRIKISHVILI;ЧРИКИШВИЛИ
ZABIT;ЗАБИТ
ARNOLD;АРНОЛЬД
CHIKOBAVA;ЧИКОБАВА
MARIAM;МАРИАМ
KEVKHISHVILI;КЕВХИШВИЛИ
RUSTAMLI;РУСТАМЛИ
TIBILOV;ТИБИЛОВ
JABA;ДЖАБА
IOSELIANI;ИОСЕЛИАНИ
IOSEB;ИОСИФ
IREMASHVILI;ИРЕМАШВИЛИ
BUKHUTI;БУХУТИ
GURGENIDZE;ГУРГЕНИДЗЕ
HENRI;ГЕНРИ
KUPRASHVILI;КУПРАШВИЛИ
IKHTIYAR;ИХТИЯР
KASIMOV;ГАСЫМОВ
LEVON;ЛЕВОН
AGHASYAN;АГАСЯН
SEDRAK;СЕДРАК
SEDRAKYAN;СЕДРАКЯН
VALERY;ВАЛЕРИЙ
GEGHAMYAN;ГЕГАМЯН
PARUYR;ПАРУЙР
SEVAK;СЕВАК
ERDZHANIK;ЕРДЖАНИК
BABKEN;БАБКЕН
ARAKELYAN;АРАКЕЛЯН
ARAYIK;АРА
SHMAVON;ШМАВОН
SHMAVONYAN;ШМАВОНЯН
HASRATYAN;АСРАТЯН
OGANES;ОГАНЕС
ARUTUNYAN;АРУТЮНЯН
AREYAN;АРЕЯН
AZAY;АЗАЙ
SAKIT;САКИТ
SALNIKOV;САЛЬНИКОВ
EZNIK;ЕЗНИК
KOBA;КОБА
GULIASHVILI;ГУЛИАШВИЛИ
KOBLIASHVILI;КОБЛИАШВИЛИ
SHAMILOV;ШАМИЛОВ
ABBASGULU BEY;АББАС
SHADLINSKI;ШАДЛИНСКИЙ
ALEKSANYAN;АЛЕКСАНЯН
FARMAN;ФАРМАН
KARIMZADE;КЕРИМЗАДЕ
RAZMIK;РАЗМИК
ALIOVSAT;АЛИОВСАТ
GASIMZADE;КАСИМЗАДЕ
SUREN;СУРИК
KAVTARADZE;КАВТАРАДЗЕ
ILO;ИЛЬЯ
MOSASHVILI;МОСАШВИЛИ
ASLANYAN;АСЛАНЯН
SHOTA;ШОТА
KHINCHAGASHVILI;ХИНЧАГАШВИЛИ
MARDAN;МАРДАН
MUSAYEV;МУСАЕВ
IVERI;ИВЕРИ
JIKURAULI;ДЖИКУРАУЛИ
KEDELASHVILI;КЕДЕЛАШВИЛИ
NARINE;НАРИНЭ
ABGARYAN;АБГАРЯН
NIKO;НИКО
PIROSMANI;ПИРОСМАНИ
DZHABRAILOV;ДЖАБРАИЛОВ
GARNIK;ГАРНИК
VAHRAM;ВАГРАМ
ZARYAN;ЗАРЯН
MANUK;МАНУК
ABEGHIAN;АБЕГЯН
ESHGIN;ЭШГИН
VALERIAN;ВАЛИКО
GUNIA;ГУНИА
AMIRAN;АМИРАН
TOTIKASHVILI;ТОТИКАШВИЛИ
ANDRIA;АНДРЕЙ
APAKIDZE;АПАКИДЗЕ
VETROV;ВЕТРОВ
DARASELIA;ДАРАСЕЛИЯ
HAMLET;ГАМЛЕТ
ISAKHANLI;ИСАХАНЛЫ
ILHAM;ИЛЬГАМ
OLEKSIY;АЛЕКСЕЙ
ARESTOVYCH;АРЕСТОВИЧ
GHULYAN;ГУЛЯН
HAYK;АЙК
CHOBANYAN;ЧОБАНЯН
MEGHRIAN;МЕГРЯН
JAHUKYAN;ДЖАУКЯН
AXEL;АКСЕЛ
BAKUNTS;БАКУНЦ
EVGENI;ЕВГЕНИЙ
BABSKY;БАБСКИЙ
BAKHSHYAN;БАХШЯН
GOVHAR;ГОВХАР
BAKHSHALIYEVA;БАХШАЛИЕВА
SERO;СЕРО
KHANZADYAN;ХАНЗАДЯН
STYOPA;СТЁПА
SAFARYAN;САФАРЯН
OGTAY;ОКТАЙ
SEYRAN;СЕЙРАН
OSIPOV;ОСИПОВ
MATEVOSYAN;МАТЕВОСЯН
MANVEL;МАНВЕЛ
VAHID;ВАХИД
HAYK;ГАЙК
KHACHATURYAN;ХАЧАТУРЯН
HIDAYAT;ГИДАЯТ
ISRAEL;ИСРАЭЛЬ
ORI;ОРИ
AVETIK;АВЕТИК
SOS;СОС
AMIL;АМИЛЬ
YUNANOV;ЮНАНОВ
USUBOVA;УСУБОВА
LEONARD;ЛЕОНАРД
KHALIL;ХАЛИЛ
MELKUMOV;МЕЛЬКУМОВ
MINAS;МИНАС
MISHIK;МИШИК
KAZARYAN;КАЗАРЯН
TATUL;ТАТУЛ
KRPEYAN;КРПЕЯН
ABRAHAMYAN;АБРААМЯН
GALSTYAN;ГАЛСТЯН
SIRADEGHYAN;СИРАДЕГЯН
SIMON;СИМОН
YURIK;ЮРИЙ
AYYUB;ЭЙЮБ
VURGUN;ВУРГУН
OMAROV;ОМАРОВ
NIKOYAN;НИКОЯН
GARIB;ГАРИБ
DAVOYAN;ДАВОЯН
FAZAIL;ФАЗАИЛ
AGAMALI;АГАМАЛЫ
BAGHDASAR;БАГДАСАР
ARZOUMANIAN;АРЗУМАНЯН
MOVSISYAN;МОВСЕСЯН
VANIK;ВАНИК
ZAKARYAN;ЗАХАРЯН
KHOREN;ХОРЕН
BAYRAMYAN;БАЙРАМЯН
INSANOV;ИНСАНОВ
NAREK;НАРЕК
BEGLARYAN;БЕГЛАРЯН
ASHIROV;АШИРОВ
GNEL;ГНЕЛ
MEDZHLUMYAN;МЕДЖЛУМЯН
BEKAURI;БЕКАУРИ
GULNARA;ГУЛЬНАРА
GABELIA;ГАБЕЛИЯ
ELIAVA;ЭЛИАВА
TEVZAIA;ТЕВЗАЯ
FEOFAN;ФЕОФАН
DAVITAIA;ДАВИТАЯ
BENIA;ВЕНИАМИН
CHKHIKVISHVILI;ЧХИКВИШВИЛИ
HAMO;АМО
SAHYAN;САГИЯН
MORUS;МОРУС
MACHABELI;МАЧАБЕЛИ
GAGLOYEV;ГАГЛОЕВ
ROSTISLAV;РОСТИСЛАВ
KHUGAYEV;ХУГАЕВ
CHOCHIEV;ЧОЧИЕВ
LADO;ЛАДО
KETSKHOVELI;КЕЦХОВЕЛИ
IBRAHIM BEY;ИБРАГИМ-БЕК
USUBOV;УСУБОВ
KHACHATUR;ХАЧАТУР
ABOVIAN;АБОВЯН
MOLLA;МОЛЛА
KHANAGYAN;ХАНАГЯН
ALY;АЛЫ
MASTAN;МАСТАН
SHYKHLY;ШИХЛЫ
MIRVARID;МИРВАРИД
ALIAGHA;АЛИ-АГА
SHIKHLINSKI;ШИХЛИНСКИЙ
ZAVARIAN;ЗАВАРЯН
ARAKEL;АРАКЕЛ
VACHAGAN;ВАЧАГАН
KHALATYAN;ХАЛАТЯН
GALAKTION;ГАЛАКТИОН
ALPAIDZE;АЛПАИДЗЕ
ALEXANDR;АЛЕКСАНДР
